training_percent, mean, iqr, saved_time, total_time, technique, evaluations 
0.1,0.0891821333601,0.0170766752756,524585.30444,531940.0,16,random_where
0.2,0.0776688082088,0.0176361043639,521293.82706,531940.0,23,random_where
0.3,0.0646353858312,0.014344089376,517048.13982,531940.0,32,random_where
0.4,0.0625003423168,0.0135206926079,517292.58037,531940.0,32,random_where
0.5,0.0613551007558,0.0236712876399,517024.058495,531940.0,32,random_where
0.6,0.0606834287585,0.0109887382261,517106.164015,531940.0,32,random_where
0.7,0.0648894332597,0.0205229246238,517194.076325,531940.0,32,random_where
0.8,0.0699077996307,0.0111263224482,516937.30242,531940.0,32,random_where
0.9,0.0276747877512,0.0156513248227,502405.01689,531940.0,64,random_where
0.1,0.0107707881253,0.00274749905447,478506.819415,531940.0,116,base_line
0.2,0.00344657375791,0.00059266304301,425104.206795,531940.0,231,base_line
0.3,0.00183595824967,0.000298523792959,372279.195655,531940.0,346,base_line
0.4,0.00121320994062,0.000324494062471,318294.45836,531940.0,461,base_line
0.5,0.000947087335258,0.000138476837143,266667.66111,531940.0,576,base_line
0.6,0.000807894760683,9.62684710867e-05,212169.84624,531940.0,692,base_line
0.7,0.000673070090196,7.16850213057e-05,158980.40559,531940.0,807,base_line
0.8,0.000534091940067,0.000100461188083,105731.62781,531940.0,922,base_line
0.9,0.000454687525847,6.79065128881e-05,52723.935455,531940.0,1037,base_line
0.1,0.0980040153383,0.0233223239038,524576.4629,531940.0,16,exemplar_where
0.2,0.078227847715,0.0147827291163,521262.59654,531940.0,23,exemplar_where
0.3,0.0608928047647,0.0223818591699,517375.630785,531940.0,32,exemplar_where
0.4,0.0651160209103,0.0158059500991,517121.82599,531940.0,32,exemplar_where
0.5,0.0684814492324,0.0177096324887,517153.02747,531940.0,32,exemplar_where
0.6,0.0659106284578,0.0211556409591,517416.582975,531940.0,32,exemplar_where
0.7,0.0677700559704,0.0261221421618,517371.948815,531940.0,32,exemplar_where
0.8,0.0688957942307,0.0187751239886,517516.79984,531940.0,32,exemplar_where
0.9,0.0274429742119,0.0144310900081,502296.29429,531940.0,64,exemplar_where
0.1,0.0749937030927,0.0170100861191,516671.192335,531940.0,32,east_west_where
0.2,0.0545680208606,0.0174550234758,509964.51206,531940.0,46,east_west_where
0.3,0.040278268758,0.00847502103155,501153.990965,531940.0,64,east_west_where
0.4,0.0426675741373,0.00988707113065,501235.99643,531940.0,64,east_west_where
0.5,0.0517320164609,0.0131756598843,501053.33459,531940.0,64,east_west_where
0.6,0.0573029156867,0.00848885689481,500921.295375,531940.0,64,east_west_where
0.7,0.0618619712938,0.0195687665606,500772.208355,531940.0,64,east_west_where
0.8,0.0527933029734,0.0120439270378,500539.1111,531940.0,64,east_west_where
0.9,0.0188991728493,0.00998655230922,470914.588925,531940.0,128,east_west_where
