training_percent, mean, iqr, saved_time, total_time, technique, evaluations 
0.1,0.383281064435,0.156922366909,1075385.2,1124212.0,8,random_where,
0.2,0.299980478671,0.256721396713,1075334.9,1124212.0,8,random_where,
0.3,0.0386959664391,0.101393488373,1030656.35,1124212.0,15,random_where,
0.4,0.0327512519141,0.00993185368021,1018506.3,1124212.0,16,random_where,
0.5,0.0347358295112,0.00711824121735,1025391.0,1124212.0,16,random_where,
0.6,0.0357118640187,0.00905125366359,1018427.9,1124212.0,16,random_where,
0.7,0.0381330719252,0.0472851255475,1027086.05,1124212.0,16,random_where,
0.8,0.0343972415788,0.0138076287436,1024371.55,1124212.0,16,random_where,
0.9,0.0420986150196,0.0826387909965,1025698.3,1124212.0,16,random_where,
0.1,0.0276946193699,0.00832287508538,1007165.3,1124212.0,18,base_line,
0.2,0.0229922269729,0.00495235789723,901780.1,1124212.0,36,base_line,
0.3,0.0204261203868,0.00323743724023,787655.0,1124212.0,55,base_line,
0.4,0.0200663360943,0.00242883451724,682215.5,1124212.0,72,base_line,
0.5,0.0193012777308,0.00248790993635,554194.3,1124212.0,90,base_line,
0.6,0.0193286654516,0.0031009676043,448613.4,1124212.0,108,base_line,
0.7,0.0188941489917,0.00349403168746,336733.7,1124212.0,126,base_line,
0.8,0.0173510878668,0.00518605635816,215323.95,1124212.0,145,base_line,
0.9,0.0155092400207,0.00693279892394,108853.8,1124212.0,163,base_line,
0.1,0.199814779948,0.185454977263,1085716.8,1124212.0,8,exemplar_where,
0.2,0.15386565526,0.190881154424,1091956.65,1124212.0,8,exemplar_where,
0.3,0.142689750956,0.133048504092,1057379.0,1124212.0,15,exemplar_where,
0.4,0.144638947891,0.0767439854564,1056221.8,1124212.0,16,exemplar_where,
0.5,0.127716380715,0.0266746621453,1061331.7,1124212.0,16,exemplar_where,
0.6,0.130785147385,0.0297139762873,1061763.3,1124212.0,16,exemplar_where,
0.7,0.14559445741,0.0485266739452,1061604.05,1124212.0,16,exemplar_where,
0.8,0.142820262738,0.0553589843299,1064470.9,1124212.0,16,exemplar_where,
0.9,0.149736505808,0.0679927089986,1065765.25,1124212.0,16,exemplar_where,
0.1,0.0354842776729,0.00937499583444,1025406.75,1124212.0,16,east_west_where,
0.2,0.0331027473878,0.0100934009176,1018405.2,1124212.0,16,east_west_where,
0.3,0.0253401504065,0.00458510918526,934265.85,1124212.0,30,east_west_where,
0.4,0.0250141050939,0.00340961050907,908309.35,1124212.0,32,east_west_where,
0.5,0.0245167237494,0.00378722879614,910288.4,1124212.0,32,east_west_where,
0.6,0.0264273634288,0.00500843340595,904929.95,1124212.0,32,east_west_where,
0.7,0.0258225289384,0.00793700468636,907848.25,1124212.0,32,east_west_where,
0.8,0.0272582373618,0.00590133205183,900392.55,1124212.0,32,east_west_where,
0.9,0.0249961125475,0.0140288665636,900331.65,1124212.0,32,east_west_where,
