training_percent, mean, iqr, saved_time, total_time, technique, evaluations 
0.1,0.218419746523,0.100871046192,262639.5,274110.0,8,random_where,
0.2,0.185324124621,0.0827939035559,262833.0,274110.0,8,random_where,
0.3,0.103081070156,0.019295696763,251244.0,274110.0,16,random_where,
0.4,0.106749736038,0.0359731579059,251320.5,274110.0,16,random_where,
0.5,0.0977766969017,0.0276017915751,251031.0,274110.0,16,random_where,
0.6,0.108512740627,0.0319741629967,251169.0,274110.0,16,random_where,
0.7,0.108237478163,0.0339939798611,251095.5,274110.0,16,random_where,
0.8,0.103822591885,0.0230534412614,251407.5,274110.0,16,random_where,
0.9,0.130632151634,0.0644793262881,251649.0,274110.0,16,random_where,
0.1,0.108910079833,0.0329486276467,245191.5,274110.0,20,base_line,
0.2,0.0813045285316,0.0141741228214,217468.5,274110.0,39,base_line,
0.3,0.0753924341875,0.0132192832202,192079.5,274110.0,58,base_line,
0.4,0.0644572815036,0.00665313313155,164338.5,274110.0,77,base_line,
0.5,0.0628538752653,0.00615407773153,137812.5,274110.0,96,base_line,
0.6,0.0623445801036,0.00611786877128,108531.0,274110.0,116,base_line,
0.7,0.0573800557229,0.0138028402926,81783.0,274110.0,135,base_line,
0.8,0.0542379153391,0.010952079185,53479.5,274110.0,154,base_line,
0.9,0.052314537284,0.0226694358805,27043.5,274110.0,173,base_line,
0.1,0.203253529904,0.0601946696846,264795.0,274110.0,8,exemplar_where,
0.2,0.225658642386,0.033756744516,265521.0,274110.0,8,exemplar_where,
0.3,0.14791512557,0.106584078422,256005.0,274110.0,16,exemplar_where,
0.4,0.18966236998,0.0786573863713,256968.0,274110.0,16,exemplar_where,
0.5,0.18822285427,0.073956027283,257347.5,274110.0,16,exemplar_where,
0.6,0.217575085138,0.0487929368118,257919.0,274110.0,16,exemplar_where,
0.7,0.214446408809,0.0461963319866,257916.0,274110.0,16,exemplar_where,
0.8,0.214055549225,0.0532886294773,258121.5,274110.0,16,exemplar_where,
0.9,0.233511093648,0.079211980112,258438.0,274110.0,16,exemplar_where,
0.1,0.107881395269,0.0513719657652,251473.5,274110.0,16,east_west_where,
0.2,0.105442923605,0.0271852096708,250689.0,274110.0,16,east_west_where,
0.3,0.0868291314625,0.0167289621902,228043.5,274110.0,32,east_west_where,
0.4,0.0847283499125,0.0176553327949,227647.5,274110.0,32,east_west_where,
0.5,0.0892189366766,0.00972333116063,226867.5,274110.0,32,east_west_where,
0.6,0.0914693437747,0.0168120776436,226618.5,274110.0,32,east_west_where,
0.7,0.0929523516525,0.0294079427496,226425.0,274110.0,32,east_west_where,
0.8,0.0982619247483,0.0215381987315,225700.5,274110.0,32,east_west_where,
0.9,0.100225232266,0.0215692567659,225760.5,274110.0,32,east_west_where,
