training_percent, mean, iqr, saved_time, total_time, technique, evaluations 
0.1,0.150974056266,0.13379493992,20907.4031073,21178.0,32,random_where,
0.2,0.155012000356,0.0743883448031,20911.9834273,21178.0,32,random_where,
0.3,0.14032356428,0.0510871555282,20932.5731723,21178.0,32,random_where,
0.4,0.0423671162984,0.0433538889102,20649.3713423,21178.0,64,random_where,
0.5,0.0624208685399,0.0427297224667,20623.1379473,21178.0,64,random_where,
0.6,0.0667055179701,0.054850843735,20668.1946923,21178.0,64,random_where,
0.7,0.0563842700125,0.0466239253676,20626.2912323,21178.0,64,random_where,
0.8,0.0565680830702,0.0319849402777,20625.4130123,21178.0,64,random_where,
0.9,0.0416672288389,0.0365306117865,20664.4323273,21178.0,64,random_where,
0.1,0.00728916915642,0.00324516551623,19075.2843823,21178.0,256,base_line,
0.2,0.0054296865616,0.000489259587192,16947.6872173,21178.0,512,base_line,
0.3,0.00484190481235,0.000354731768257,14791.6759573,21178.0,768,base_line,
0.4,0.00434151033016,0.00035267906286,12754.4079723,21178.0,1024,base_line,
0.5,0.00403214550466,0.000407409689288,10543.9557073,21178.0,1280,base_line,
0.6,0.00377645776282,0.00034106454041,8491.44737231,21178.0,1536,base_line,
0.7,0.00341469876384,0.000336413670855,6404.56754231,21178.0,1792,base_line,
0.8,0.00336165090969,0.000310884543093,4244.16045731,21178.0,2049,base_line,
0.9,0.00307972249195,0.000275674344856,2059.05074231,21178.0,2305,base_line,
0.1,0.369240412829,0.0966551988647,21149.1118123,21178.0,32,exemplar_where,
0.2,0.450422395585,0.105074656347,21159.3867623,21178.0,32,exemplar_where,
0.3,0.544434260876,0.11139642062,21162.5601423,21178.0,32,exemplar_where,
0.4,0.392607332236,0.090954787947,21135.0048273,21178.0,64,exemplar_where,
0.5,0.405657117926,0.030586164243,21141.8203823,21178.0,64,exemplar_where,
0.6,0.418687261,0.126000660448,21144.1942473,21178.0,64,exemplar_where,
0.7,0.435117909722,0.0515744107431,21145.6272073,21178.0,64,exemplar_where,
0.8,0.452441113092,0.0802340033618,21146.4425623,21178.0,64,exemplar_where,
0.9,0.443186325536,0.126261346785,21147.2343973,21178.0,64,exemplar_where,
0.1,0.0907851952831,0.0406036547374,20413.5043973,21178.0,64,east_west_where,
0.2,0.197980664915,0.147762946334,20231.5979173,21178.0,64,east_west_where,
0.3,0.434350704025,2.63127939102,20181.5575523,21178.0,64,east_west_where,
0.4,0.0500684665829,0.0396744061791,19420.1250923,21178.0,128,east_west_where,
0.5,0.0833774593742,0.100937387462,19338.4780573,21178.0,128,east_west_where,
0.6,0.0876417462517,0.0713037666842,19274.4641873,21178.0,128,east_west_where,
0.7,0.0953470511398,0.0831975634688,19207.0541373,21178.0,128,east_west_where,
0.8,0.0910988475915,0.113860105728,19194.3997473,21178.0,128,east_west_where,
0.9,0.163445329673,0.1075791236,19149.0224873,21178.0,128,east_west_where,
